#FILE	NUM_FOUND	acpXL	actA	bsh	cgs	clpC	clpE	clpP	fabZ	fbpA	gtcA	hly	hpt	htrB	iap/cwhA	inlA	inlB	inlC	inlF	inlK	kdsA	kdsB	lap	lapB	llsA	llsB	llsD	llsG	llsH	llsP	llsX	llsY	lntA	lpeA	lplA1	lspA	mpl	oatA	pdgA	pgm	plcA	plcB	prfA	prsA2	vip
amr/SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	36	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	99.16;100.00	99.90	100.00	99.50	100.00	99.72	100.00	99.62	100.00	.	100.00	100.00	100.00	97.10	.	.	100.00	.	100.00	100.00	83.11	100.00	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.77	100.00	99.89	100.00	100.00	100.00
amr/SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	.	100.00	90.80	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	.	.	81.43	.	81.07	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	85.37	100.00
amr/SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	28	.	99.90	100.00	.	100.00	98.44	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	.	100.00	.	.	.	.	100.00	100.00	100.00	.	.	90.54	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	33	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	100.00	86.07	.	89.60	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	30	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	100.00	100.00	.	97.10	99.63	99.89	100.00	.	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	83.33	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
amr/SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	30	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	.	98.43	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	.	.	.	.	84.28	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	100.00	100.00
amr/SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vfdb.tsv	32	.	99.90	100.00	.	100.00	99.72	100.00	.	100.00	99.54	99.69	100.00	.	97.10	99.63	99.89	100.00	99.96	100.00	.	.	100.00	100.00	100.00	.	.	.	91.07	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	99.89	100.00	85.37	100.00
